Model,MAE,MSE,RMSE,R2,Pearson_r
LR,0.5509078979172113,0.7424835098705682,0.861674828383984,0.0660487154231647,0.724362974056491
RF,0.3753884607351715,0.23947089644170294,0.4893576365417249,0.6987755978722238,0.8399999045890978
XGBoost,0.3723589380791313,0.3012766671759345,0.5488867525965028,0.6210316773620437,0.7984200050023255
MLP,0.2676076825175416,0.15697781662508017,0.3962042612404367,0.8025415628252567,0.9111271647056916
LLM,0.1884210526315789,0.10744210526315784,0.3277836256788277,0.8648512850532419,0.9314904648414221
